Fantasy Rank,Player,Team,Fantasy Position,Age,Games Played,Games Started,Passes Completed,Passes Attempted,Passing Yards,Passing Touchdowns,Interceptions,Rushing Attempts,Rushing Yards,Rushing Yards Per Attempt,Pass Targets,Receptions,Receiving Yards,Receiving Yards Per Reception,Fumbles,Fumbles Lost,Touchdowns,Fantasy Points,Position Rank
300,Dalvin Cook,2TM,RB,28,15,1,0,0,0,0,0,67,214,3.19,20,15,78,5.2,2,2,0,40.2,79
301,Zach Ertz,ARI,TE,33,7,7,0,0,0,0,0,0,0,,43,27,187,6.93,0,0,1,51.7,52
302,Deonte Harty,BUF,WR,26,16,1,0,0,0,0,0,4,0,0,21,15,150,10,2,1,2,40,122
303,Mack Hollins,ATL,WR,30,13,3,0,0,0,0,0,0,0,,30,18,251,13.94,0,0,0,43.1,121
304,D'Ernest Johnson,JAX,RB,27,17,0,0,0,0,0,0,41,108,2.63,12,10,140,14,0,0,0,34.8,81
305,Ty Johnson,BUF,RB,26,10,0,0,0,0,0,0,30,132,4.4,7,7,62,8.86,1,0,1,32.4,78
306,Julio Jones,PHI,WR,34,11,4,0,0,0,0,0,0,0,,19,11,74,6.73,0,0,3,36.4,120
307,Tony Jones,2TM,RB,26,7,1,0,0,0,0,0,26,95,3.65,10,7,37,5.29,0,0,2,32.2,80
308,Kyle Juszczyk*+,SFO,FB,32,17,16,0,0,0,0,0,5,6,1.2,17,14,119,8.5,0,0,2,38.5,83
309,Foster Moreau,NOR,TE,26,15,10,0,0,0,0,0,0,0,,25,21,193,9.19,0,0,1,46.3,49
310,Craig Reynolds,DET,RB,27,17,0,0,0,0,0,0,41,179,4.37,5,5,47,9.4,2,2,1,29.6,82
311,Ihmir Smith-Marsette,CAR,WR,24,17,0,0,0,0,0,0,8,74,9.25,10,8,51,6.38,2,0,2,32.5,124
312,Treylon Burks,TEN,WR,23,11,9,0,0,0,0,0,5,18,3.6,30,16,221,13.81,0,0,0,39.9,125
313,Andy Dalton,CAR,QB,36,3,1,34,58,361,2,0,3,12,4,0,0,0,,0,0,0,23.6,53
314,Hayden Hurst,CAR,TE,30,9,8,0,0,0,0,0,0,0,,32,18,184,10.22,0,0,1,42.4,53
315,Hunter Renfrow,LVR,WR,28,17,3,0,0,0,0,0,0,0,,37,25,255,10.2,1,1,0,48.5,126
316,Jacoby Brissett,WAS,QB,31,3,0,18,23,224,3,0,3,19,6.33,0,0,0,,0,0,0,22.9,55
317,Dyami Brown,WAS,WR,24,17,1,1,1,4,0,0,1,0,0,23,12,168,14,0,0,1,35,130
318,Sam Darnold,SFO,QB,26,10,1,28,46,297,2,1,21,15,0.71,0,0,0,,3,1,1,23.4,54
319,Will Dissly,SEA,TE,27,16,14,0,0,0,0,0,0,0,,22,17,172,10.12,0,0,1,40.2,55
320,Darrynton Evans,2TM,RB,25,7,0,0,0,0,0,0,32,121,3.78,12,7,49,7,0,0,1,30,84
321,KhaDarel Hodge,ATL,WR,28,17,4,0,0,0,0,0,1,0,0,23,14,232,16.57,1,0,0,37.2,127
322,Austin Hooper,LVR,TE,29,17,9,0,0,0,0,0,0,0,,31,25,234,9.36,0,0,0,48.4,54
323,Johnny Mundt,MIN,TE,29,17,0,0,0,0,0,0,0,0,,23,17,172,10.12,0,0,1,40.2,56
324,Cedric Tillman,CLE,WR,23,14,3,0,0,0,0,0,1,8,8,44,21,224,10.67,0,0,0,44.2,128
325,Parker Washington,JAX,WR,21,9,1,0,0,0,0,0,0,0,,21,16,132,8.25,2,1,2,39.2,129
326,Ameer Abdullah,LVR,RB,30,17,0,0,0,0,0,0,15,89,5.93,24,19,131,6.89,0,0,0,41,85
327,Tank Bigsby,JAX,RB,22,17,0,0,0,0,0,0,50,132,2.64,4,1,6,6,2,2,2,22.8,86
328,Elijah Higgins,ARI,TE,23,11,2,0,0,0,0,0,0,0,,19,14,163,11.64,0,0,1,36.3,57
329,Jalen Reagor,NWE,WR,24,11,1,0,0,0,0,0,1,17,17,23,7,138,19.71,0,0,1,28.5,131
330,Stone Smartt,LAC,TE,25,16,3,0,0,0,0,0,0,0,,21,11,155,14.09,0,0,1,32.5,58
331,Dorian Thompson-Robinson,CLE,QB,24,8,3,60,112,440,1,4,14,65,4.64,0,0,0,,2,0,0,22.1,56
332,C.J. Beathard,JAX,QB,30,7,1,40,53,349,1,0,8,35,4.38,0,0,0,,1,0,0,21.5,57
333,Derius Davis,LAC,WR,23,17,2,0,0,0,0,0,14,101,7.21,17,15,66,4.4,3,1,1,35.7,133
334,Van Jefferson,2TM,WR,27,17,9,0,0,0,0,0,1,4,4,43,20,209,10.45,0,0,0,41.3,132
335,Will Mallory,IND,TE,24,12,2,0,0,0,0,0,0,0,,26,18,207,11.5,1,0,0,38.7,59
336,Jamison Crowder,WAS,WR,30,17,0,0,0,0,0,0,0,0,,20,16,159,9.94,2,1,1,35.9,135
337,P.J. Walker,CLE,QB,28,6,2,54,111,674,1,5,13,30,2.31,0,0,0,,4,2,0,20,58
338,Quez Watkins,PHI,WR,25,9,5,0,0,0,0,0,0,0,,21,15,142,9.47,0,0,1,35.2,134
339,Robbie Chosen,MIA,WR,30,9,0,0,0,0,0,0,0,0,,6,4,126,31.5,0,0,1,22.6,137
340,Nick Chubb,CLE,RB,28,2,2,0,0,0,0,0,28,170,6.07,4,4,21,5.25,0,0,0,23.1,87
341,Malik Heath,GNB,WR,23,13,1,0,0,0,0,0,0,0,,24,15,125,8.33,0,0,1,33.5,138
342,Luke Schoonmaker,DAL,TE,25,17,0,0,0,0,0,0,0,0,,15,8,65,8.13,0,0,2,26.5,60
343,Tyler Scott,CHI,WR,22,17,4,0,0,0,0,0,7,41,5.86,32,17,168,9.88,1,1,0,35.9,136
344,Patrick Taylor,GNB,RB,25,11,0,0,0,0,0,0,32,141,4.41,17,11,49,4.45,0,0,0,30,88
345,River Cracraft,MIA,WR,29,10,1,0,0,0,0,0,0,0,,12,9,121,13.44,0,0,1,27.1,139
346,Kevin Harris,NWE,RB,23,4,0,0,0,0,0,0,16,65,4.06,3,3,58,19.33,0,0,1,21.3,89
347,Davis Mills,HOU,QB,25,6,0,18,39,173,2,0,2,9,4.5,0,0,0,,0,0,0,17.8,59
348,Deven Thompkins,TAM,WR,24,17,1,0,0,0,0,0,8,56,7,25,17,83,4.88,3,1,1,34.9,140
349,Melvin Gordon,BAL,RB,30,4,0,0,0,0,0,0,26,81,3.12,3,3,46,15.33,1,1,1,19.7,92
350,Damien Harris,BUF,RB,26,6,0,0,0,0,0,0,23,94,4.09,2,2,16,8,0,0,1,19,91
351,Connor Heyward,PIT,TE,24,17,7,0,1,0,0,0,1,0,0,34,23,167,7.26,0,0,0,39.7,62
352,Ray-Ray McCloud,SFO,WR,27,12,1,0,0,0,0,0,3,30,10,15,12,135,11.25,1,0,0,28.5,141
353,MyCole Pruitt,ATL,TE,31,17,8,0,0,0,0,0,0,0,,12,9,110,12.22,1,0,1,26,61
354,Trey Sermon,IND,RB,24,14,0,0,0,0,0,0,35,160,4.57,6,3,13,4.33,0,0,0,20.3,90
355,Davis Allen,LAR,TE,22,15,1,0,0,0,0,0,0,0,,11,10,95,9.5,0,0,1,25.5,63
356,Luke Farrell,JAX,TE,26,17,8,0,0,0,0,0,0,0,,15,13,155,11.92,0,0,0,28.5,64
357,Lucas Krull,DEN,TE,25,7,2,0,0,0,0,0,0,0,,14,8,95,11.88,0,0,1,23.5,65
358,John Metchie,HOU,WR,23,16,0,0,0,0,0,0,1,4,4,30,16,158,9.88,0,0,0,32.2,142
359,Donovan Peoples-Jones,2TM,WR,24,15,6,0,0,0,0,0,0,0,,25,13,155,11.92,1,0,0,28.5,144
360,Kyle Philips,TEN,WR,24,9,0,0,0,0,0,0,0,0,,22,15,181,12.07,1,1,0,31.1,143
361,Irv Smith Jr.,CIN,TE,25,12,6,0,0,0,0,0,0,0,,26,18,115,6.39,1,1,1,33.5,66
362,John Bates,WAS,TE,26,17,4,0,0,0,0,0,0,0,,28,19,151,7.95,0,0,0,34.1,68
363,Jalen Guyton,LAC,WR,26,8,3,0,0,0,0,0,0,0,,21,10,89,8.9,0,0,1,24.9,146
364,Charlie Kolar,BAL,TE,24,15,3,0,0,0,0,0,0,0,,9,7,87,12.43,0,0,1,21.7,71
365,David Moore,TAM,WR,28,7,0,0,0,0,0,0,0,0,,7,5,94,18.8,0,0,1,20.4,145
366,Ronnie Rivers,LAR,RB,24,9,1,0,0,0,0,0,32,129,4.03,5,5,22,4.4,0,0,0,20.1,93
367,Jeremy Ruckert,NYJ,TE,23,15,6,0,0,0,0,0,0,0,,22,16,151,9.44,0,0,0,31.1,69
368,Trent Sherfield,BUF,WR,27,17,1,0,0,0,0,0,0,0,,22,11,86,7.82,0,0,1,25.6,147
369,Josh Whyle,TEN,TE,24,11,3,0,0,0,0,0,0,0,,15,9,94,10.44,0,0,1,24.4,67
370,Brock Wright,DET,TE,25,14,4,0,0,0,0,0,0,0,,14,13,91,7,0,0,1,28.1,70
371,Chase Claypool,2TM,WR,25,12,2,0,0,0,0,0,0,0,,21,8,77,9.63,0,0,1,21.7,152
372,Jeff Driskel,CLE,QB,30,1,1,13,26,166,2,2,7,33,4.71,0,0,0,,0,0,0,13.9,60
373,Xavier Hutchinson,HOU,WR,23,16,0,0,0,0,0,0,5,49,9.8,19,8,90,11.25,0,0,0,21.9,150
