Fantasy Rank,Player,Team,Fantasy Position,Age,Games Played,Games Started,Passes Completed,Passes Attempted,Passing Yards,Passing Touchdowns,Interceptions,Rushing Attempts,Rushing Yards,Rushing Yards Per Attempt,Pass Targets,Receptions,Receiving Yards,Receiving Yards Per Reception,Fumbles,Fumbles Lost,Touchdowns,Fantasy PPR Points,Position Rank
259,Isaiah Davis,NYJ,RB,22,17,0,0,0,0,0,0,30,174,5.8,12,9,75,8.33,0,0,2,45.9,71
260,Dawson Knox,BUF,TE,28,16,13,0,0,0,0,0,0,0,,33,22,311,14.14,0,0,1,59.1,39
261,Dare Ogunbowale,HOU,RB,30,17,1,0,0,0,0,0,30,112,3.73,28,19,198,10.42,0,0,1,56,70
262,Grant Calcaterra,PHI,TE,26,17,13,0,0,0,0,0,0,0,,30,24,298,12.42,0,0,1,59.8,40
263,Mike Williams,2TM,WR,30,18,5,0,0,0,0,0,0,0,,34,21,298,14.19,0,0,1,56.8,105
264,Nelson Agholor,BAL,WR,31,14,7,0,0,0,0,0,0,0,,29,14,231,16.5,0,0,2,49.1,106
265,Tyler Johnson,LAR,WR,26,15,2,0,0,0,0,0,0,0,,41,26,291,11.19,0,0,1,61.1,107
266,Colby Parkinson,LAR,TE,25,17,9,0,0,0,0,0,0,0,,49,30,294,9.8,0,0,1,65.4,41
267,JuJu Smith-Schuster,KAN,WR,28,14,8,0,0,0,0,0,0,0,,26,18,231,12.83,0,0,2,53.1,108
268,Gabriel Davis,JAX,WR,25,10,9,0,0,0,0,0,0,0,,42,20,239,11.95,1,1,2,53.9,109
269,Tyler Goodson,IND,RB,24,16,0,0,0,0,0,0,32,153,4.78,15,11,61,5.55,0,0,2,44.4,72
270,Lil'Jordan Humphrey,DEN,WR,26,17,7,0,0,0,0,0,0,0,,45,31,293,9.45,2,1,1,64.3,110
271,Christian McCaffrey,SFO,RB,28,4,4,0,0,0,0,0,50,202,4.04,19,15,146,9.73,1,1,0,47.8,73
272,Curtis Samuel,BUF,WR,28,14,2,0,0,0,0,0,5,14,2.8,46,31,253,8.16,0,0,1,63.7,111
273,Tommy Tremble,CAR,TE,24,12,11,0,0,0,0,0,0,0,,32,23,234,10.17,1,1,2,56.4,42
274,Josh Whyle,TEN,TE,25,17,4,0,0,0,0,0,0,0,,37,28,248,8.86,0,0,1,60.8,43
275,Nick Vannett,TEN,TE,31,17,10,0,0,0,0,0,0,0,,20,17,135,7.94,0,0,3,48.5,44
276,Chris Brooks,GNB,RB,24,15,0,0,0,0,0,0,36,183,5.08,13,11,69,6.27,0,0,1,42.2,74
277,Joshua Dobbs,SFO,QB,29,2,1,32,47,361,2,2,9,24,2.67,0,0,0,,2,1,2,30.8,48
278,John Metchie,HOU,WR,24,13,3,0,0,0,0,0,0,0,,37,24,254,10.58,1,0,1,55.4,112
